"","DATE","PERIOD","R","PLANETDISCMETH","numPlanets"
"2827",2016,5.34982412,0.106,"Transit",1288
"2828",2016,150.242127,0.414,"Transit",1288
"2829",2014,23.44281,0.106165,"Transit",769
"2830",2014,41.749882,0.276563,"Transit",769
"2831",2016,2.31942009,0.084,"Transit",1288
"2835",2016,2.75798267,0.177,"Transit",1288
"2836",2014,10.105785,0.11241,"Transit",769
"2837",2014,10.495711,0.135605,"Transit",769
"2838",2014,18.684737,0.172183,"Transit",769
"2839",2016,6.10027804,0.302,"Transit",1288
"2840",2014,16.092,0.215006,"Transit",769
"2841",2013,2.216726,1.01,"Transit",57
"2842",2016,20.42228798,0.164,"Transit",1288
"2843",2016,33.1995648,0.246,"Transit",1288
"2845",2015,9.03081,0.3238,"Transit",27
"2846",2014,6.00253,0.161477,"Transit",769
"2848",2010,207.2482,0.146312,"Transit",66
"2849",2014,29.198943,0.375591,"Transit",769
"2850",2016,0.57736958,0.137,"Transit",1288
"2851",2014,125.866438,1.16335,"Transit",769
"2852",2016,5.24867263,0.268,"Transit",1288
"2856",2016,3.11602791,0.146,"Transit",1288
"2857",2016,7.5844126,0.43,"Transit",1288
"2858",2014,247.35373,0.195379,"Transit",769
"2859",2014,18.119869,0.282808,"Transit",769
"2860",2016,4.40966548,0.123,"Transit",1288
"2864",2010,1.592851,0.146311,"Transit",66
"2865",2011,7.2037945,0.242446,"Transit",122
"2866",2014,4.08722,1.16,"Transit",769
"2867",2016,47.0569043,0.294,"Transit",1288
"2868",2016,16.33889626,0.906,"Transit",1288
"2869",2012,4.61442,1.4,"Transit",54
"2871",2016,2.29503623,0.11,"Transit",1288
"2872",2016,9.99113313,0.138,"Transit",1288
"2873",2016,9.33646594,0.194,"Transit",1288
"2874",2016,29.88485741,0.248,"Transit",1288
"2875",2016,48.4308991,0.202,"Transit",1288
"2876",2011,5.90124,0.1963,"Transit",122
"2877",2016,47.14840805,0.223,"Transit",1288
"2879",2012,20.09,0.211,"Transit",54
"2880",2016,6.36584161,0.25,"Transit",1288
"2881",2013,4.20474,1.26,"Transit",57
"2882",2009,3.2130598,0.959,"Transit",18
"2883",2014,20.552802,0.256936,"Transit",769
"2884",2016,1.15116651,0.143,"Transit",1288
"2885",2016,127.9075774,0.58,"Transit",1288
"2886",2014,2.382961,0.157909,"Transit",769
"2887",2016,20.3505213,0.089,"Transit",1288
"2889",2014,87.517905,0.146311,"Transit",769
"2891",2014,43.8445,0.228368,"Transit",769
"2892",2014,11.03189,0.130252,"Transit",769
"2893",2014,9.034199,0.140066,"Transit",769
"2894",2014,5.715442,0.218574,"Transit",769
"2895",2016,21.02247699,0.304,"Transit",1288
"2896",2014,38.871826,0.256044,"Transit",769
"2897",2014,4.159807,0.0722634,"Transit",769
"2898",2016,30.229104,0.286,"Transit",1288
"2899",2014,17.460812,0.194487,"Transit",769
"2900",2011,12.7204,0.463913,"Transit",122
"2901",2016,4.45343281,0.077,"Transit",1288
"2902",2016,28.2274184,0.353,"Transit",1288
"2904",2016,3.60084276,0.116,"Transit",1288
"2905",2016,47.449955,0.153,"Transit",1288
"2906",2013,1.354133,1.168,"Transit",57
"2908",2016,5.4042722,0.282,"Transit",1288
"2909",2010,3.922727,0.792,"Transit",66
"2910",2008,3.9791,1.13,"Transit",14
"2911",2016,7.99019627,0.136,"Transit",1288
"2912",2016,6.98471973,0.093,"Transit",1288
"2915",2014,28.081912,0.3292,"Transit",769
"2916",2016,16.1288853,0.204,"Transit",1288
"2917",2016,19.5974971,0.279,"Transit",1288
"2918",2014,8.005013,0.142742,"Transit",769
"2919",2016,2.60754383,0.171,"Transit",1288
"2921",2014,3.619337,0.132037,"Transit",769
"2922",2012,12.0717249,0.109635,"Transit",54
"2923",2011,5.66793,0.155094,"Transit",122
"2924",2016,10.9295461,0.122,"Transit",1288
"2925",2014,7.416755,0.285485,"Transit",769
"2926",2016,3.59576964,0.232,"Transit",1288
"2927",2014,4.617534,0.138282,"Transit",769
"2928",2012,288.822,0.764,"Transit",54
"2929",2016,1.04562266,0.118,"Transit",1288
"2930",2016,219.3217528,0.644,"Transit",1288
"2931",2014,12.904532,0.117763,"Transit",769
"2932",2010,9.740486,0.0675,"Transit",66
"2934",2014,2.024823,0.0909983,"Transit",769
"2935",2007,2.5199449,1.516,"Transit",10
"2936",2008,4.1877537,1.03,"Transit",14
"2937",2007,2.899703,0.899,"Transit",10
"2938",2016,37.94563,0.267,"Transit",1288
"2939",2016,6.9131112,0.083,"Transit",1288
"2940",2016,4.13962966,0.18,"Transit",1288
"2941",2014,10.848463,0.19181,"Transit",769
"2942",2016,2.0523499,1.477,"Transit",1288
"2943",2014,3.33616,0.146311,"Transit",769
"2944",2014,99.640161,0.247123,"Transit",769
"2945",2016,9.32807355,0.054,"Transit",1288
"2946",2014,9.220524,0.0901062,"Transit",769
"2947",2014,16.934402,0.11687,"Transit",769
"2948",2016,5.33905686,0.187,"Transit",1288
"2949",2016,0.68996783,0.073,"Transit",1288
"2951",2016,2.54307286,0.116,"Transit",1288
"2952",2014,5.28696,0.041927,"Transit",769
